cliente,cod_cliente,mes,articulo,descripcion,m2,ingresos,cv_pintura,cv_quimicos,cv_mod,cmg,cmg_por_m2
ANSA,10011,1,000105,"MENSULAS 0,43 A 0,53 M DE LARGO",290.52,645600.0,363960.1779229001,44019.74542781464,45877.374688894364,191742.70196039087,659.998285695962
AXEL,10000,1,000017,FRENTE HORNO 30 NEGRO,53.2,127452.5883460465,66648.35971877423,8060.892388681464,8401.06131574136,44342.27492284944,833.5014083242376
AXEL,10000,1,000019,FRENTE HORNO 45 NEGRO,144.0,344984.44965847174,180401.575178637,21818.95684154381,22739.714839600674,120024.20279869027,833.501408324238
AXEL,10000,1,000421,CONJUNTO PURIFICADOR BLANCO,1815.36,4349103.9620278,2274262.5244186833,275064.3159157289,286672.00507789914,1513105.116615489,833.5014083242381
AXEL,10000,1,000426,FRENTE HORNO 60 NEGRO,70.0,167700.77413953486,87695.21015628187,10606.437353528241,11054.028047028105,58345.09858269664,833.5014083242378
AXEL,10000,1,000511,CONJUNTO PURIFICADOR NEGRO,475.8,1139886.1190798671,596076.8713194131,72093.46989726767,75135.80778251389,396579.97008067253,833.5014083242381
AXEL,10000,1,000550,CONJUNTO PURIFICADOR MARRON,183.0,438417.73810764117,229260.33512285116,27728.25765279526,28898.387608659188,152530.75772333556,833.501408324238
AXEL,10000,1,000553,CONJUNTO PURIFICADOR PLATIL,1021.14,2446370.978640638,1279272.6699855097,154723.67770259755,161253.0028563183,851121.6280962123,833.5014083242379
DANES SRL,10016,1,000168,TANQUE DE AIRE (GRAFITO),22.68,137252.11885714284,28413.248090635327,3436.48570254315,3581.505087237106,101820.87997672724,4489.456789097321
DANES SRL,10016,1,000169,TANQUE DE AIRE (SHELL),21.42,129627.00114285716,26834.734307822255,3245.569830179642,3382.5325823906005,96164.16442246467,4489.456789097323
FRIC ROT,10001,1,000040,VAINA T2U13005,45.0,243383.93617021278,56375.49224332406,6818.42401298244,7106.16088737521,173083.85902653108,3846.3079783673575
FRIC ROT,10001,1,000041,VAINA T2U15001,36.0,194707.1489361702,45100.39379465925,5454.739210385953,5684.9287099001685,138467.08722122485,3846.307978367357
FRIC ROT,10001,1,000042,VAINA T2U15002,705.0,3813015.0,883216.0451454103,106821.97620339158,111329.85390221165,2711647.124748986,3846.3079783673566
FRIC ROT,10001,1,000045,VAINA T2U14005,60.0,324511.91489361704,75167.32299109876,9091.232017309922,9474.881183166948,230778.4787020414,3846.307978367357
INDUSTRIAS BONO,10002,1,000368,RIENDA LATERAL LINEA NUOVO 800/20 PINTADA,52.25,186465.66588822354,65458.210438081835,7916.9478817407235,8251.04236367455,104839.46520472642,2006.4969417172522
INDUSTRIAS BONO,10002,1,000371,VIGA LATERAL LINEA NUOVO 800/20 PINTADA,65.44,233537.09427225546,81982.49360895836,9915.503720212688,10333.937077107417,131305.159865977,2006.4969417172526
INDUSTRIAS BONO,10002,1,000383,LATERAL MOSTRADOR DE ENCASTRE M.E.R. CH22 0.7-0.9 BLANCO,7.56,26979.529839520957,9471.082696878442,1145.4952341810501,1193.8350290790354,15169.11687938243,2006.4969417172529
